,sil_val,cluster
TCGA-2K-A9WE,0.9777962806508708,2
TCGA-2Z-A9J1,0.9802412855477709,2
TCGA-2Z-A9J2,0.9773858245470213,2
TCGA-2Z-A9J3,0.9779361286579609,2
TCGA-2Z-A9J5,0.9797873354677432,2
TCGA-2Z-A9J6,0.978715691885464,2
TCGA-2Z-A9J7,0.9783506944519271,2
TCGA-2Z-A9J8,0.9849196753335151,1
TCGA-2Z-A9JD,0.9782040148434683,2
TCGA-2Z-A9JE,0.9782489172122015,2
TCGA-2Z-A9JG,0.9870860128340413,1
TCGA-2Z-A9JI,0.9860647518774445,1
TCGA-2Z-A9JJ,0.9876513648063806,1
TCGA-2Z-A9JK,0.9869359875142173,1
TCGA-2Z-A9JL,0.9892170240712007,1
TCGA-2Z-A9JM,0.9777349155423134,2
TCGA-2Z-A9JP,0.9769284625956587,2
TCGA-2Z-A9JQ,0.9783328299898199,2
TCGA-2Z-A9JR,0.957072183811047,2
TCGA-2Z-A9JS,0.9773829070436311,2
TCGA-2Z-A9JT,0.9801692940621533,2
TCGA-4A-A93W,0.9796977572256288,2
TCGA-4A-A93X,0.9856507286246223,1
TCGA-5P-A9JU,0.9870587743806027,1
TCGA-5P-A9JV,0.9878408427111098,1
TCGA-5P-A9JW,-0.20529877973094465,2
TCGA-5P-A9JY,0.9803366321341709,2
TCGA-5P-A9JZ,0.9775557337959982,2
TCGA-5P-A9K0,0.9794548167354077,2
TCGA-5P-A9K2,0.9775015126569595,2
TCGA-5P-A9K3,0.9872697829966445,1
TCGA-5P-A9K4,0.9795323640257289,2
TCGA-5P-A9K6,0.9783500440299614,2
TCGA-5P-A9K8,0.9843683157281399,1
TCGA-5P-A9K9,0.98463737141649,1
TCGA-5P-A9KA,0.9021914595798501,1
TCGA-5P-A9KC,0.853920464081529,1
TCGA-5P-A9KE,0.9790850329487435,2
TCGA-5P-A9KH,0.9871801435804852,1
TCGA-A4-7286,0.9867927668569054,1
TCGA-A4-7287,0.9867417604568893,1
TCGA-A4-7288,0.9778109739695766,2
TCGA-A4-7583,0.9858684571258707,1
TCGA-A4-7584,0.9790668312926618,2
TCGA-A4-7585,0.9779098794177437,2
TCGA-A4-7732,0.9805421385364697,2
TCGA-A4-7734,0.977664008357055,2
TCGA-A4-7915,0.9780115066278707,2
TCGA-A4-7996,0.9774198214236148,2
TCGA-A4-7997,0.9864588390112509,1
TCGA-A4-8098,0.9856518386807709,1
TCGA-A4-8310,0.9778503875323561,2
TCGA-A4-8311,0.9779573278059781,2
TCGA-A4-8515,0.9783988706666498,2
TCGA-A4-8516,0.9771237320507172,2
TCGA-A4-8517,0.9790275743692946,2
TCGA-A4-8518,0.9789459545688157,2
TCGA-A4-8630,0.9797985885940007,2
TCGA-A4-A48D,0.9873442302442047,1
TCGA-A4-A4ZT,0.977132051747877,2
TCGA-A4-A57E,0.9751042271707755,1
TCGA-A4-A5DU,0.9764502809037788,2
TCGA-A4-A5XZ,0.9529545787982086,2
TCGA-A4-A5Y0,0.9788940410412188,2
TCGA-A4-A5Y1,0.9860374848955802,1
TCGA-A4-A6HP,0.9784070760517403,2
TCGA-A4-A772,0.9811453076569053,2
TCGA-A4-A7UZ,0.9781270605289177,2
TCGA-AL-3466,0.9844264873304054,1
TCGA-AL-3468,0.9799322382875858,2
TCGA-AL-3471,0.9794393788398069,2
TCGA-AL-3472,0.9790858742493918,2
TCGA-AL-3473,0.9873785681316822,1
TCGA-AL-7173,0.986216521873366,1
TCGA-AL-A5DJ,0.9871006220332577,1
TCGA-AT-A5NU,0.9774518386581331,2
TCGA-B1-5398,0.9880763214887033,1
TCGA-B1-7332,0.9853413556354431,1
TCGA-B1-A47M,0.9766472611502834,2
TCGA-B1-A47N,0.9784733147422154,2
TCGA-B1-A47O,0.978736870499647,2
TCGA-B1-A654,0.978912471660823,2
TCGA-B1-A655,0.9793087027889729,2
TCGA-B1-A656,0.9874256333082843,1
TCGA-B1-A657,0.9774969489068144,2
TCGA-B3-3925,0.9790662545574151,2
TCGA-B3-3926,0.9847602057924331,1
TCGA-B3-4103,0.9784708452728599,2
TCGA-B3-4104,0.978434856978487,2
TCGA-B3-8121,0.9776447933412773,2
TCGA-B3-A6W5,0.9792390887737045,2
TCGA-B9-4113,0.9796553243948348,2
TCGA-B9-4114,0.9776673807702806,2
TCGA-B9-4115,0.977670448164278,2
TCGA-B9-4116,0.9862304750693562,1
TCGA-B9-4117,0.9878364182068204,1
TCGA-B9-4617,0.9783416803291092,2
TCGA-B9-5155,0.9784501166941063,2
TCGA-B9-5156,0.9783757835217972,2
TCGA-B9-7268,0.9790259658265452,2
TCGA-B9-A44B,0.9859370992282623,1
TCGA-B9-A5W7,0.9798788359629905,2
TCGA-B9-A5W8,0.9850832334194707,1
TCGA-B9-A5W9,0.9782522570654535,2
TCGA-B9-A69E,0.986631986825054,1
TCGA-B9-A8YH,0.9782108914604679,2
TCGA-B9-A8YI,0.9864168120092486,1
TCGA-BQ-5875,0.9116688400344813,2
TCGA-BQ-5876,0.9867620456661762,1
TCGA-BQ-5877,0.9255121796824571,1
TCGA-BQ-5878,0.9863968044233937,1
TCGA-BQ-5879,0.9852526004200914,1
TCGA-BQ-5880,0.979258425513391,2
TCGA-BQ-5881,0.9787423280052894,2
TCGA-BQ-5882,0.9878102663612758,1
TCGA-BQ-5884,0.9850464384804793,1
TCGA-BQ-5885,0.9870166609809279,1
TCGA-BQ-5886,0.9795855175141948,2
TCGA-BQ-5887,0.9785817195700492,2
