"","x"
"360","TEK"
"361","TCF21"
"362","CRABP1"
"363","MECOM-AS1"
"364",NA
"365","SELE"
"366",NA
"367",NA
"368",NA
"369","LINC01606"
"370","HS6ST2"
"371","FOXI2"
"372","FAM215A"
"373","NUGGC"
"374","CD8B2"
"375","SLITRK3"
"376",NA
"377",NA
"378","GGT6"
"379","TBL1Y"
"380","LINC00314"
"381",NA
"382",NA
"383","MYF6"
"384",NA
"385","SLC13A3"
"386",NA
"387","MAB21L4"
"388",NA
"389","ERBB4"
"390","TCF24"
"391","PRL"
"392","CACNA1S"
"393",NA
"394","IGDCC3"
"395","CDH19"
"396","PCDH15"
"397","NAT8L"
"398","ST6GALNAC3"
"399","DLGAP2"
"400","DACH2"
"401",NA
"402","LINC01987"
"403","CDH10"
"404","LINC01788"
"405","CSPG4BP"
"406",NA
"407","ST8SIA6"
"408","SYT7"
"409","SLC2A12"
"410","MPPED2"
"411","CYP1A1"
"412","SLC6A2"
"413","SLC24A2"
"414",NA
"415",NA
"416","DES"
"417",NA
"418","KIF26A"
"419","TRPM6"
"420","NFASC"
"421",NA
"422","LMX1B"
"423","ADGRV1"
"424",NA
"425","OPCML"
"426","DMRT2"
"427","SEMA3G"
"428","LGSN"
"429",NA
"430",NA
"431","VAT1L"
"432",NA
"433",NA
"434","LMO3"
"435","PDE11A-AS1"
"436","RN7SL160P"
"437","ATP6V1C2"
"438","C7"
"439",NA
"440","ODAM"
"441","AKAP4"
"442",NA
"443","TENM2"
"444","RPS13P7"
"445",NA
"446","SLC16A14P1"
"447",NA
"448",NA
"449",NA
"450",NA
"451","SUSD2"
"452","DRAIC"
"453",NA
"454",NA
"455",NA
"456",NA
"457","DEFB132"
"458",NA
"459","NMUR2"
"460","ADAMTSL1"
"461","SLC14A1"
"462","LINC01785"
"463","GPR12"
"464",NA
"465",NA
"466","SERPINA5"
"467",NA
"468","APCDD1L"
"469",NA
"470",NA
"471","ARC"
"472",NA
"473","AMELY"
"474","HNF4A-AS1"
"475",NA
"476",NA
"477","ADRB1"
"478","MOGAT2"
"479","ATP1B2"
"480",NA
"481","STRA6"
"482",NA
"483","APCDD1L-DT"
"484","GGACT"
"485","LINC00052"
"486","AQP3"
"487","HMGCS2"
"488","AVPR1A"
"489",NA
"490",NA
"491","KCNK10"
"492",NA
"493","PIPOX"
"494","ZNF488"
"495","LINC02554"
"496",NA
"497","ADH1B"
"498",NA
"499",NA
"500","TRPM5"
"501","DBX2"
"502",NA
"503","LOC100422263"
"504",NA
"505",NA
"506",NA
"507","SMIM5"
"508","MYCNUT"
"509","LOC101927020"
"510","HSPA2"
"511","GCGR"
"512","LGI2"
"513","ADAMTS19-AS1"
"514","LINC01255"
"515",NA
"516","UPP2"
"517","SALL3"
"518","MME"
"519","WT1"
"520",NA
"521","BMP5"
"522","CLNK"
"523","NHLRC4"
"524","TGM7"
"525","RAG2"
"526","FOLR3"
"527",NA
"528","ERVMER34-1"
"529","SLC7A8"
"530","TMEM178A"
"531","ANKRD63"
"532","LRRC52"
"533","DLGAP2-AS1"
"534","TMEM52B"
"535",NA
"536",NA
"537","KCNA1"
"538",NA
"539",NA
"540","ZP2"
"541","UMODL1"
"542",NA
"543",NA
"544","OVCH2"
"545","GPC3"
"546","PLA2G3"
"547","MFSD6L"
"548","SEMG1"
"549","NUPR2"
"550",NA
"551","NCOA7-AS1"
"552","GDNF"
"553","CYP8B1"
"554","SLC5A7"
"555","SCN7A"
"556","MRGPRF"
"557",NA
"558","FSHB"
"559","ASB15-AS1"
"560","PI16"
"561",NA
"562","LINC02110"
"563","SLC7A14"
"564","C16orf89"
"565","UNC13C"
"566",NA
"567","SLC28A2"
"568","TRAV8-2"
"569","VSIG8"
"570","ASPDH"
"571","ERICH4"
"572","ACOT12"
"573","CCKAR"
"574","LINC00307"
"575","AFAP1L2"
"576","LOC100130691"
