"","x"
"355","TMEM74B"
"356","AICDA"
"357","RNA5SP174"
"358","LOC102724323"
"359","OLIG3"
"360","VGF"
"361",NA
"362","SLC6A15"
"363",NA
"364",NA
"365","TEX11"
"366","C19orf33"
"367",NA
"368","SPON2"
"369","MELK"
"370",NA
"371","ANO4"
"372","LINC02236"
"373",NA
"374","SOGA3"
"375",NA
"376","LINC01411"
"377","TMEM163"
"378",NA
"379","TLCD3B"
"380","RIMS2"
"381",NA
"382","MIR509-3"
"383",NA
"384","CCDC197"
"385","LMO7DN"
"386",NA
"387","PTPRH"
"388",NA
"389",NA
"390","DCSTAMP"
"391","RHEX"
"392","CDKN2B-AS1"
"393","SPAG6"
"394","REG3G"
"395","LINC02471"
"396","LINC02561"
"397","TROAP"
"398","CNR1"
"399","CYP4F26P"
"400","ASIP"
"401","GPRIN1"
"402","UCN"
"403",NA
"404",NA
"405","LYZL1"
"406","SYT5"
"407","PLA2G2D"
"408","IGFBP6"
"409","LINC01751"
"410","KCNJ4"
"411","SERPINE2"
"412",NA
"413",NA
"414","TOP2A"
"415","LINC01857"
"416","LINC02492"
"417","LOC101927972"
"418","DHRS9"
"419",NA
"420",NA
"421","AURKB"
"422",NA
"423","ZNF280A"
"424","REG1A"
"425","GPR150"
"426","CATSPER1"
"427","OR2AT1P"
"428",NA
"429","C6"
"430","NNMT"
"431","FFAR4"
"432","PSME2P5"
"433","PCGEM1"
"434",NA
"435","RDM1"
"436","HMGA2"
"437",NA
"438",NA
"439","CYSLTR2"
"440","CAMP"
"441","TMPRSS6"
"442","HCN1"
"443","HJURP"
"444","COL23A1"
"445","OR1F1"
"446","HOXC13"
"447","RASGEF1C"
"448","C20orf141"
"449",NA
"450",NA
"451",NA
"452","LILRB4"
"453","KRT81"
"454","LL22NC03-63E9.3"
"455",NA
"456","CAMKV"
"457","ADAM7"
"458","LINC01445"
"459",NA
"460","ADAMDEC1"
"461","PRAC2"
"462",NA
"463","SACS-AS1"
"464","CENPA"
"465","ADGRG7"
"466","DNAJB13"
"467","LINC02511"
"468",NA
"469",NA
"470","RAD21L1"
"471","PADI1"
"472","LMO7DN-IT1"
"473","SLC17A2"
"474",NA
"475",NA
"476","TRPA1"
"477","TUBB4A"
"478","LOC643015"
"479","CCKBR"
"480","CXCL6"
"481","SOHLH1"
"482","KIF18B"
"483","GAGE2B"
"484","CDC25C"
"485","C9orf57"
"486","DBET"
"487","KRT32"
"488","LINC01559"
"489","LINC02313"
"490","PLEKHN1"
"491","SLC52A1"
"492",NA
"493","TPK1"
"494",NA
"495","SEZ6L2"
"496","SNAP91"
"497",NA
"498",NA
"499","SLC37A2"
"500","LOC102724908"
"501",NA
"502","LBX2"
"503","MCM10"
"504","OSCAR"
"505","ZNF37CP"
"506",NA
"507","CELA1"
"508",NA
"509","MROCKI"
"510","KRT33A"
"511",NA
"512","HPCA"
"513",NA
"514","SYT14"
"515","TPSP2"
"516","LINC01781"
"517",NA
"518","TRABD2A"
"519","BNIP3P19"
"520","CD300LF"
"521",NA
"522",NA
"523","GOLGA7B"
"524",NA
"525","LRRN4"
"526","ALK"
"527","PRSS57"
"528",NA
"529","CDH4"
"530",NA
"531","BIRC5"
"532",NA
"533","PSG8-AS1"
"534","DLGAP1-AS3"
"535","L3MBTL4-AS1"
"536","KLKP1"
"537","MESP2"
"538","DNM1"
"539",NA
"540","RGS1"
"541","PRDM12"
"542","LHB"
"543","SLC8A2"
"544","OR7E100P"
"545","KCCAT198"
"546","VCAN"
"547",NA
"548","CEP55"
"549",NA
"550",NA
"551",NA
"552","LINC02225"
"553","PVT1"
"554","RNU1-138P"
"555",NA
"556","LINC00511"
"557","SP9"
"558","LOC100422020"
"559","PIMREG"
"560","IGFL2"
"561","INHBE"
"562","CLPSL1"
"563",NA
"564","LOC105370024"
"565","RNU7-61P"
"566","C5orf46"
"567",NA
"568",NA
"569","PSG3"
"570","FAM25A"
"571","NPIPB6"
"572",NA
"573",NA
"574",NA
"575",NA
"576","MYO1A"
"577","SAA1"
"578",NA
"579",NA
"580","NEK2"
"581","GPNMB"
"582","SNAP25-AS1"
"583","C1orf127"
"584","ERVV-2"
"585","KRT86"
"586","TREML1"
"587","LRRTM4"
"588",NA
"589","THEG"
"590","LOC347097"
"591","CDC6"
"592","PF4V1"
"593","MTCO1P40"
"594","MUC5B"
"595","NEFL"
"596",NA
"597","EN2"
"598","AMH"
"599",NA
"600","LINC00355"
"601","MAGEA12"
"602","PSG1"
"603",NA
"604",NA
"605","ODF3B"
"606","LINC01920"
"607","KRTAP1-1"
"608","LINC01305"
"609",NA
"610",NA
"611","KCTD19"
"612","NPY4R"
"613","MSC"
"614","CLPSL2"
"615",NA
"616","LOC105370792"
"617","LINC02076"
"618","LINC00397"
"619","OXCT2"
"620",NA
"621",NA
"622","KRT15"
"623","LINC02461"
"624","FDCSP"
"625",NA
"626","ERFE"
"627",NA
"628",NA
"629","CDC45"
"630",NA
"631","LINC02683"
"632","DLX4"
"633",NA
"634","SRCIN1"
"635",NA
"636","APOBEC1"
"637","FAM238A"
"638","PTCHD4"
"639","BTBD16"
"640","MIR509-2"
"641","RETN"
"642",NA
"643",NA
"644",NA
"645",NA
"646",NA
"647","IGLON5"
"648","CLGN"
"649","SCG2"
"650","TBX20"
"651",NA
"652","LINC00896"
"653","DLGAP5"
"654","LRRC3-DT"
"655","LILRA4"
"656","TBC1D3D"
"657",NA
"658","RAD51AP2"
"659","SLC12A5-AS1"
"660","CCDC78"
"661",NA
"662","BCL2A1"
"663",NA
"664","CYP4F8"
"665","LOC100506790"
"666","SPHK1"
"667","LOC101929536"
"668","LHX2"
"669",NA
"670",NA
"671","RYR3-DT"
"672","PNPLA5"
"673",NA
"674","ADGRE4P"
"675",NA
"676",NA
"677",NA
"678","PPP2R2C"
"679","LINC02257"
"680","MIR205HG"
"681","TRPC3"
"682",NA
"683","GBX2"
"684",NA
"685","ACTL8"
"686","SOX11"
"687","KIF14"
"688","LRFN5"
"689","TEX15"
"690","FCGR2B"
"691",NA
"692","LOC93429"
"693",NA
"694","LINC00589"
"695","BNC1"
"696","LACTB2-AS1"
"697",NA
"698","LINC02541"
"699","BUB1"
"700","CHRNA6"
"701",NA
"702",NA
"703","IFNE"
"704","KRT12"
"705","HOXA13"
"706","MSLNL"
"707",NA
"708",NA
"709","RELN"
"710","CNPY1"
"711","H2AW"
"712","RNASE2"
"713","SRRM3"
"714","IQGAP3"
"715",NA
"716","LGALS9C"
"717","CD68"
"718","CDH22"
"719","DTL"
"720","OTOS"
"721","CREB5"
"722","PDE6B-AS1"
"723",NA
"724","EPS8L3"
"725","ERN2"
"726","TPX2"
"727","RRM2"
"728","SIRPB1"
"729","CHI3L2"
"730","LINC01999"
"731","ASPM"
"732","SELENOV"
"733","LHX9"
"734",NA
"735",NA
"736",NA
"737",NA
"738","SNAP25"
"739","QRFPR"
"740","FAM111B"
"741","FBLN7"
"742","RPL7P50"
"743","SNORD99"
"744","MIR5689HG"
"745",NA
"746","TNFSF14"
"747","PTPRN"
"748",NA
"749","MIR6859-1"
"750","ACTBP12"
"751","SCARNA21"
"752","SLPI"
"753","ZFHX4-AS1"
"754","E2F7"
"755","SLC12A5"
"756","ASCL1"
"757",NA
"758",NA
"759","RNU6-831P"
"760","NMRK2"
"761","SLC1A3"
"762","C4BPA"
"763","SLITRK5"
"764","TEX19"
"765","HP"
"766",NA
"767","RNU1-14P"
"768","OTX1"
"769","KCTD4"
"770",NA
"771","PTCRA"
"772","RN7SL477P"
"773","SIRPD"
"774","PYCR1"
"775","LINC00269"
"776","PKD1L2"
"777",NA
"778","IFI27"
"779","LINC00664"
"780","NPPB"
"781","BEAN1"
"782",NA
"783","APBB1IP"
"784",NA
"785","LINC01518"
"786","LOC101928516"
"787",NA
"788",NA
